condsFile,readyMsg,stimFile,corrAns,bildFil,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_14.keys,key_resp_14.rt,key_resp_12.keys,key_resp_12.corr,key_resp_12.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,participant,session,date,expName,frameRate,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. paint can 2. paintbrush 3. banana,3,,0,1,1,1,0,7,7,16,,,,,,,,,,,,,3,1,2.910003617987968,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. flute 2. paint can 3. drum,2,,0,1,1,1,0,8,8,7,,,,,,,,,,,,,2,1,2.9100260559935123,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. wall clock 2. cucumber slice 3. TV screen,2,,0,1,1,1,0,9,9,4,,,,,,,,,,,,,2,1,2.558543390012346,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. flute 2. paintbrush 3. violin,2,,0,1,1,1,0,10,10,17,,,,,,,,,,,,,2,1,2.409138574003009,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. hourglass 2. piano 3. violin,1,,0,1,1,1,0,11,11,22,,,,,,,,,,,,,1,1,4.812918804003857,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. flute 2. piano 3. flashlight,3,,0,1,1,1,0,12,12,23,,,,,,,,,,,,,3,1,2.154910087992903,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. tennis racket 2. apple 3. bowling ball,2,,0,1,1,1,0,13,13,1,,,,,,,,,,,,,2,1,2.908301310992101,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. bowling ball 2. banana 3. coconut,1,,0,1,1,1,0,14,14,0,,,,,,,,,,,,,1,1,1.9561969729838893,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. hourglass 2. button 3. wall clock,2,,0,1,1,1,0,15,15,21,,,,,,,,,,,,,2,1,3.8291796859994065,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. flute 2. banana 3. apple,1,,0,1,1,1,0,16,16,18,,,,,,,,,,,,,1,1,2.025649728020653,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. button 2. toast 3. pizza pie,1,,0,1,1,1,0,17,17,11,,,,,,,,,,,,,1,1,2.107857019000221,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. clarinet 2. pear 3. banana,1,,0,1,1,1,0,18,18,6,,,,,,,,,,,,,1,1,1.7573970069934148,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. pear 2. toast 3. TV screen,3,,0,1,1,1,0,19,19,5,,,,,,,,,,,,,3,1,1.9051458250032738,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. drum 2. cake 3. pear,1,,0,1,1,1,0,20,20,8,,,,,,,,,,,,,1,1,2.07186770500266,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. lamp 2. flashlight 3. clarinet,3,,0,1,1,1,0,21,21,15,,,,,,,,,,,,,3,1,1.9579542510036845,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. comb 2. hairspray 3. soda can,3,,0,1,1,1,0,22,22,12,,,,,,,,,,,,,3,1,2.625965813000221,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. pear 2. drum 3. violin,1,,0,1,1,1,0,23,23,14,,,,,,,,,,,,,1,1,2.4924465540098026,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,30.519246226991527,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,q,pict_lang_test/bild10.png,,,,,,,,,0,0,0,9,,,,,,,,,,,,,,q,1,14.934617532999255,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,p,pict_lang_test/bild3.png,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,p,1,7.168554183997912,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,4,pict_lang_test/bild14.png,,,,,,,,,0,2,2,13,,,,,,,,,,,,,,4,1,18.458628187014256,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,3,pict_lang_test/bild13.png,,,,,,,,,0,3,3,12,,,,,,,,,,,,,,3,1,2.459283629024867,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,h,pict_lang_test/bild8.png,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,h,1,13.698698272986803,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,t,pict_lang_test/bild22.png,,,,,,,,,0,5,5,21,,,,,,,,,,,,,,t,1,5.247838241019053,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,d,pict_lang_test/bild6.png,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,d,1,4.829843072016956,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,f,pict_lang_test/bild27.png,,,,,,,,,0,7,7,26,,,,,,,,,,,,,,f,1,3.610685507999733,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,x,pict_lang_test/bild17.png,,,,,,,,,0,8,8,16,,,,,,,,,,,,,,x,1,2.7938623770023696,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,j,pict_lang_test/bild4.png,,,,,,,,,0,9,9,3,,,,,,,,,,,,,,j,1,4.078065306006465,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,s,pict_lang_test/bild23.png,,,,,,,,,0,10,10,22,,,,,,,,,,,,,,s,1,7.70083313799114,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,z,pict_lang_test/bild1.png,,,,,,,,,0,11,11,0,,,,,,,,,,,,,,z,1,4.129350130999228,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,2,pict_lang_test/bild16.png,,,,,,,,,0,12,12,15,,,,,,,,,,,,,,2,1,3.9456646559992805,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,r,pict_lang_test/bild25.png,,,,,,,,,0,13,13,24,,,,,,,,,,,,,,r,1,4.4623996340087615,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,w,pict_lang_test/bild11.png,,,,,,,,,0,14,14,10,,,,,,,,,,,,,,w,1,3.545172582002124,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,b,pict_lang_test/bild29.png,,,,,,,,,0,15,15,28,,,,,,,,,,,,,,b,1,3.1272399610024877,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,k,pict_lang_test/bild9.png,,,,,,,,,0,16,16,8,,,,,,,,,,,,,,e,0,3.076443869009381,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,u,pict_lang_test/bild18.png,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,u,1,2.7096939890179783,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,v,pict_lang_test/bild2.png,,,,,,,,,0,18,18,1,,,,,,,,,,,,,,v,1,2.3414177790109534,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,y,pict_lang_test/bild15.png,,,,,,,,,0,19,19,14,,,,,,,,,,,,,,y,1,16.588240188983036,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,l,pict_lang_test/bild26.png,,,,,,,,,0,20,20,25,,,,,,,,,,,,,,l,1,6.800935175007908,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,e,pict_lang_test/bild7.png,,,,,,,,,0,21,21,6,,,,,,,,,,,,,,e,1,3.4612843570066616,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,o,pict_lang_test/bild19.png,,,,,,,,,0,22,22,18,,,,,,,,,,,,,,s,0,5.080104783002753,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,n,pict_lang_test/bild21.png,,,,,,,,,0,23,23,20,,,,,,,,,,,,,,g,0,6.400313266989542,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,1,pict_lang_test/bild12.png,,,,,,,,,0,24,24,11,,,,,,,,,,,,,,1,1,6.1496866059897,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,i,pict_lang_test/bild20.png,,,,,,,,,0,25,25,19,,,,,,,,,,,,,,i,1,3.9615152460173704,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,a,pict_lang_test/bild30.png,,,,,,,,,0,26,26,29,,,,,,,,,,,,,,a,1,2.258387298003072,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,m,pict_lang_test/bild24.png,,,,,,,,,0,27,27,23,,,,,,,,,,,,,,m,1,3.209661653992953,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,c,pict_lang_test/bild28.png,,,,,,,,,0,28,28,27,,,,,,,,,,,,,,c,1,1.8915973030088935,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,g,pict_lang_test/bild5.png,,,,,,,,,0,29,29,4,,,,,,,,,,,,,,g,1,26.108662171987817,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
